#warehouse,container,rack,tray,x,y,UV period,height (in),weight (g),operator,GCMS,
0,0,1,0,1,2,8.48,4,29,tim savas,,
0,0,1,0,1,4,8.48,5,41,tim savas,,
0,0,1,0,2,1,8.48,3,21,tim savas,,
0,0,1,0,2,3,8.48,5.5,40,tim savas,,
0,0,1,0,2,5,8.48,5,21,tim savas,,
0,0,1,0,3,0,8.48,4.5,27,tim savas,,
0,0,1,0,3,2,8.48,6,58,tim savas,,
0,0,1,0,3,4,8.48,6,44,tim savas,,
0,0,1,0,4,1,8.48,9,90,tim savas,,
0,0,1,0,4,3,8.48,5.5,42,tim savas,,
0,0,1,0,5,0,8.48,4,21,tim savas,,
0,0,1,0,5,2,8.48,4,22,tim savas,,
0,0,1,0,5,4,8.48,5,37,tim savas,,
0,0,1,0,6,1,8.48,7.5,80,tim savas,0.38,
0,0,1,0,6,5,8.48,4,33,tim savas,,
0,0,1,0,7,0,8.48,5.5,31,tim savas,,
0,0,1,0,7,2,8.48,6,30,tim savas,,
0,0,1,0,7,4,8.48,6.5,33,tim savas,,
0,0,1,0,8,1,8.48,4.5,42,tim savas,,
0,0,1,0,8,3,8.48,7,49,tim savas,,
0,0,1,0,8,5,8.48,8.5,44,tim savas,,
0,0,1,0,9,0,8.48,4.5,37,tim savas,,
0,0,1,0,9,4,8.48,7,42,tim savas,saved,
0,0,1,0,10,1,8.48,3.5,28,tim savas,,
0,0,1,0,10,3,8.48,4,43,tim savas,,
0,0,1,0,10,5,8.48,6.5,47,tim savas,,
0,0,1,0,11,0,8.48,4,29,tim savas,,
0,0,1,0,11,2,8.48,3,24,tim savas,,
0,0,1,0,11,4,8.48,4.5,28,tim savas,,
0,0,1,1,0,1,24,6,61,tim savas,,
0,0,1,1,0,3,24,6.5,40,tim savas,,
0,0,1,1,0,5,24,7.5,59,tim savas,,
0,0,1,1,1,1,24,6,33,tim savas,,
0,0,1,1,1,3,24,5.5,48,tim savas,,
0,0,1,1,1,5,24,6,53,tim savas,,
0,0,1,1,2,1,24,8,103,tim savas,,0.3
0,0,1,1,2,3,24,8.5,137,tim savas,,0.4
0,0,1,1,2,5,24,7,44,tim savas,,
0,0,1,1,3,0,24,5,39,tim savas,,
0,0,1,1,3,2,24,5,43,tim savas,,
0,0,1,1,3,4,24,5.5,41,tim savas,,
0,0,1,1,4,1,24,5,50,tim savas,,
0,0,1,1,4,3,24,8,65,tim savas,,
0,0,1,1,4,5,24,6.5,38,tim savas,,
0,0,1,1,5,0,24,6,34,tim savas,,
0,0,1,1,5,2,24,7,60,tim savas,,
